"Order ID",1,2,3,4,5
300094840,Refunded,47.35,-1.1,46.25,
300094920,Refunded,39.6,-0.9,38.7,
300095089,Refunded,194.4,-3.84,190.56,
300095509,Refunded,9.9,-0.39,9.51,
300093685,Canceled,299.7,0,299.7,
300096381,Completed,28.9,-0.7,28.2,
300096377,Completed,28,-0.68,27.32,
300096368,"Partially Refunded",191.1,-3.78,187.32,
300093885,"Partially Refunded",489,-9.49,479.51,
300093570,"Partially Refunded",70.1,-1.53,68.57,
300094359,"Partially Refunded",130.95,-2.69,128.26,
300094930,"Partially Refunded",90.55,-1.87,88.68,
300094178,1,2,3,4,5
300096345,Completed,21.25,-0.55,20.7,
300096341,Completed,359.2,-6.97,352.23,
300096333,Completed,94.9,-2,92.9,
300096328,Completed,194.4,-3.89,190.51,
300096327,Completed,202.95,-5.07,197.88,
300096320,Completed,92.2,-1.9,90.3,
300096311,Completed,2,-0.19,1.81,
300096300,Completed,23.4,-0.64,22.76,
300096267,Completed,69.31,-1.52,67.79,
300096253,Completed,359.2,-8.77,350.43,
300096245,Completed,61.2,-1.31,59.89,
300096232,Completed,39.6,-0.9,38.7,
300096229,Completed,53.46,-1.17,52.29,
300096216,Completed,205.7,-4.06,201.64,
300096212,Completed,33.95,-0.85,33.1,
300096206,Completed,140.25,-2.86,137.39,
300096203,Completed,35,-0.82,34.18,
300096190,Completed,12.42,-0.44,11.98,
300096178,Completed,14.95,-0.43,14.52,
300096171,Completed,157.25,-5.5,151.75,
300096154,Completed,45.9,-1.61,44.29,
300096150,Completed,28.05,-0.68,27.37,
300096149,Completed,71.4,-1.56,69.84,
300096145,Completed,22.49,-0.58,21.91,
300096100,Refunded,138.24,-2.78,135.46,
300096088,Completed,102.06,-3.57,98.49,
300096087,Completed,60.59,-1.35,59.24,
300096082,Completed,25.2,-0.63,24.57,
300096078,Completed,177.6,-3.52,174.08,
300096072,Completed,12.85,-0.44,12.41,
300096036,Completed,10.2,-0.39,9.81,
300096025,Completed,14.87,-0.48,14.39,
300095939,Completed,34.65,-1.21,33.44,
300095934,Completed,337.95,-6.57,331.38,
300095929,Completed,50.4,-1.16,49.24,
300095913,Completed,74.8,-1.62,73.18,
300095909,Completed,30.6,-0.78,29.82,
300095904,Completed,122,-2.52,119.48,
300095902,Completed,55.8,-1.21,54.59,
300095895,Completed,45.9,-1.07,44.83,
300095888,Completed,56,-1.26,54.74,
300095884,Completed,32.4,-0.82,31.58,
300095882,Completed,24.84,-0.62,24.22,
300095874,Completed,41.65,-0.99,40.66,
300091480,Completed,718.4,-17.39,701.01,
300095849,Completed,39.6,-0.95,38.65,
300095843,Completed,66.3,-1.46,64.84,
300095829,Completed,201.6,-3.98,197.62,
300095821,Completed,24,-0.84,23.16,
300095799,Completed,33.75,-0.84,32.91,
300095797,Completed,36.55,-0.89,35.66,
300095789,Completed,25.2,-0.63,24.57,
300095778,Completed,34.99,-0.86,34.13,
300095772,Completed,99,-2.03,96.97,
300095768,Completed,98.28,-3.44,94.84,
300095764,Completed,31.1,-0.74,30.36,
300095762,Completed,93.6,-1.93,91.67,
300095760,Completed,135,-4.73,130.27,
