 Invoice Number, Status, Gross, Fee, Net, Reserve
,Completed,49.57,-1.73,47.84,
,Placed,-0.68,...,-0.68,
,Placed,-1.71,...,-1.71,
,Placed,-1.36,...,-1.36,
300099065,Completed,14,-0.47,13.53,
,Placed,-0.54,...,-0.54,
300099064,Completed,28,-0.73,27.27,
INV2-VADJ-4YM2-SFUT-RGTY,Completed,35.64,-1.4,34.24,
45174,Paid,35.64,0,35.64,
,Placed,-1.75,...,-1.75,
,Placed,-0.41,...,-0.41,
300099063,Completed,11.25,-0.41,10.84,
300099062,Completed,36,-1.01,34.99,
,Placed,-2.37,...,-2.37,
300099061,Completed,48.6,-1.12,47.48,
300099060,Completed,8.5,-0.31,8.19,
,Placed,-2.1,...,-2.1,
300099059,Completed,49.57,-1.73,47.84,
,Placed,-3.15,...,-3.15,
300099058,Completed,42.95,-1.02,41.93,
,Placed,-1.74,...,-1.74,
300099057,Completed,35.64,-0.88,34.76,
200000219,Completed,64.45,-1.42,63.03,
,Placed,-5.19,...,-5.19,
300099056,Completed,106,-2.21,103.79,
,Placed,-3.6,...,-3.6,
,Placed,-1.46,...,-1.46,
300099054,Completed,30,-0.72,29.28,
300099055,Completed,73.6,-1.55,72.05,
,Placed,-1.25,...,-1.25,
,Placed,-3.82,...,-3.82,
300099053,Completed,78,-1.68,76.32,
300099052,Completed,25.61,-0.64,24.97,
,Completed,0.82,0,0.82,
,Completed,-42.95,0.82,-42.13,
,Placed,-2.24,...,-2.24,
,Placed,-3.49,...,-3.49,
300099051,Completed,45.9,-1.07,44.83,
,Placed,-2.46,...,-2.46,
,Completed,50.91,-1.78,49.13,
,Placed,-2.38,...,-2.38,
,Completed,49.3,-1.73,47.57,
,Placed,-3.8,...,-3.8,
,Completed,77.76,-1.68,76.08,
,Placed,-7.31,...,-7.31,
,Completed,150,-3.8,146.2,
,Placed,-3.17,...,-3.17,
,Completed,64.8,-1.43,63.37,
,Placed,-9.55,...,-9.55,
300099050,Completed,71.25,-1.55,69.7,
300099049,Completed,195,-3.91,191.09,
300099048,Completed,50.91,-1.78,49.13,
300099047,Completed,49.3,-1.73,47.57,
,Placed,-2.34,...,-2.34,
,Placed,-2.44,...,-2.44,
200000218,Completed,48,-1.11,46.89,
300099046,Completed,50,-1.15,48.85,
,Placed,-1000,24.15,-975.85,
,Placed,-2.83,...,-2.83,
,Placed,-5.03,...,-5.03,
,Placed,-1.76,...,-1.76,
,Placed,-2.73,...,-2.73,
300099045,Completed,57.8,-1.3,56.5,
300099044,Completed,102.76,-2.15,100.61,
300099043,Completed,36,-0.88,35.12,
,Placed,-1000,24.15,-975.85,
,Placed,-1.34,...,-1.34,
300099042,Completed,55.78,-1.26,54.52,
300099041,Completed,27.61,-0.72,26.89,
,Placed,-23.3,...,-23.3,
,Placed,-1.22,...,-1.22,
,Placed,-2.51,...,-2.51,
300099040,Completed,482.95,-16.9,466.05,
300099038,Completed,25,-0.63,24.37,
,Placed,-1.76,...,-1.76,
300099039,Completed,51.3,-1.17,50.13,
,Placed,-2.98,...,-2.98,
300099037,Completed,36,-0.88,35.12,
300099036,Completed,61,-1.36,59.64,
,Placed,-1.07,...,-1.07,
300099035,Completed,22,-0.57,21.43,
,Placed,-6.79,...,-6.79,
,Placed,-9.51,...,-9.51,
300099034,Completed,138.6,-2.83,135.77,
,Placed,-4.47,...,-4.47,
,Placed,-4.74,...,-4.74,
300099033,Completed,194,-3.89,190.11,
300099032,Completed,91.37,-1.89,89.48,
,Placed,-0.72,...,-0.72,
,Placed,-0.88,...,-0.88,
300099031,Completed,96.81,-2.04,94.77,
300099030,Completed,14.95,-0.48,14.47,
300099029,Completed,18,-0.49,17.51,
,Placed,-1.27,...,-1.27,
,Placed,-0.78,...,-0.78,
300099028,Completed,26.1,-0.65,25.45,
300099027,Completed,16,-0.5,15.5,
,Placed,-2.8,...,-2.8,
,Placed,-2.34,...,-2.34,
300099026,Completed,57.38,-1.29,56.09,
300099025,Completed,48,-1.11,46.89,
,Placed,-2.46,...,-2.46,
300099024,Completed,50.4,-1.11,49.29,
,Placed,-0.45,...,-0.45,
300099023,Completed,9.5,-0.43,9.07,
,Placed,-6.12,...,-6.12,
300099022,Completed,125,-2.58,122.42,
,Placed,-2.24,...,-2.24,
300099021,Completed,45.9,-1.02,44.88,
,Placed,-2.8,...,-2.8,
300099020,Completed,58,-2.03,55.97,
,Placed,-0.34,...,-0.34,
300099018,Completed,7,-0.28,6.72,
,Placed,-235,4.62,-230.38,
,Placed,-7.35,...,-7.35,
200000216,Completed,150,-3.05,146.95,
,Placed,-797,15.34,-781.66,
,Placed,-4.04,...,-4.04,
300099017,Completed,82.63,-1.77,80.86,
300099016,Completed,77.76,-1.68,76.08,
,Placed,-1.98,...,-1.98,
,Placed,-4.09,...,-4.09,
300099014,Completed,83.48,-1.74,81.74,
,Placed,-2.32,...,-2.32,
300099015,Completed,40.95,-1.43,39.52,
300099013,Completed,47.52,-1.1,46.42,
,Placed,-5.8,...,-5.8,
300099012,Completed,118.53,-2.45,116.08,
,Placed,-1.41,...,-1.41,
300099010,Completed,29,-0.75,28.25,
,Placed,-1.91,...,-1.91,
300099009,Completed,150,-3.8,146.2,
,Placed,-7.98,...,-7.98,
300099008,Completed,162.9,-3.3,159.6,
300099007,Completed,39.1,-0.94,38.16,
,Placed,-2.83,...,-2.83,
300099006,Completed,57.9,-1.3,56.6,
,Placed,-4.65,...,-4.65,
300099005,Completed,95,-1.96,93.04,
,Placed,-6.27,...,-6.27,
300099004,Completed,128,-2.63,125.37,
,Completed,-7144.65,0,-7144.65,
,Placed,-3.04,...,-3.04,
,Placed,-1.36,...,-1.36,
,Placed,-2.85,...,-2.85,
300099003,Completed,58.32,-1.31,57.01,
300099001,Completed,62.1,-1.33,60.77,
300099002,Completed,28,-0.73,27.27,
,Placed,-1.07,...,-1.07,
,Placed,-0.72,...,-0.72,
,Placed,-6.99,...,-6.99,
,Completed,15,-0.51,14.49,
300099000,Completed,21.95,-0.57,21.38,
INV2-KMEQ-TPGX-GVPT-ENDG,Completed,145.06,-5.23,139.83,
45173,Paid,145.06,0,145.06,
,Placed,-0.37,...,-0.37,
300098999,Completed,7.65,-0.3,7.35,
,Placed,-2.96,...,-2.96,
300098997,Completed,60.48,-1.35,59.13,
,Placed,-3.09,...,-3.09,
,Placed,-8.9,...,-8.9,
300098996,Completed,64,-2.24,61.76,
300098995,Completed,181.67,-3.65,178.02,
,Placed,-2.41,...,-2.41,
,Placed,-3.01,...,-3.01,
300098994,Completed,49.3,-1.14,48.16,
300098992,Completed,61.51,-1.32,60.19,
,Placed,-1.98,...,-1.98,
300098993,Completed,40.5,-0.97,39.53,
,Placed,-2.15,...,-2.15,
,Placed,-2.45,...,-2.45,
200000215,Completed,43.95,-1.04,42.91,
300098991,Completed,50.22,-1.15,49.07,
,Placed,-5.02,...,-5.02,
INV2-J9VY-8H6R-VQB4-BQ22,Completed,104.27,-3.8,100.47,
45172,Paid,104.27,0,104.27,
,Placed,-6.32,...,-6.32,
300098990,Completed,129,-2.65,126.35,
,Placed,-1.89,...,-1.89,
300098989,Uncleared,16.75,0,16.75,
300098988,Completed,39.1,-1.37,37.73,
,Canceled,880.74,0,880.74,
,Placed,-0.73,...,-0.73,
300098987,Completed,14.95,-0.43,14.52,
,Placed,-1.27,...,-1.27,
,Placed,-1.9,...,-1.9,
300098986,Completed,26.1,-0.7,25.4,
,Placed,-2.1,...,-2.1,
300098985,Completed,38.88,-0.94,37.94,
,Canceled,822.86,0,822.86,
300098984,Completed,43,-1.02,41.98,
,Placed,-2.6,...,-2.6,
,Placed,-2.53,...,-2.53,
300098982,Completed,51.84,-1.18,50.66,
300098981,Completed,53.24,-1.21,52.03,
,Placed,-4.65,...,-4.65,
300098980,Completed,94.96,-2,92.96,
,Placed,-7.69,...,-7.69,
,Placed,-5.16,...,-5.16,
300098979,Completed,157,-3.18,153.82,
,Placed,-4.58,...,-4.58,
,Placed,-5.24,...,-5.24,
,Placed,-5.54,...,-5.54,
300098977,Completed,113.12,-2.3,110.82,
300098978,Completed,107.1,-2.23,104.87,
300098975,Completed,93.5,-1.93,91.57,
300098976,Completed,105.31,-2.2,103.11,
,Placed,-5.11,...,-5.11,
300098974,Completed,104.4,-2.13,102.27,
,Placed,-1.17,...,-1.17,
,Placed,-2.86,...,-2.86,
300098973,Completed,58.5,-1.31,57.19,
300098972,Completed,24,-0.66,23.34,
,Completed,7.46,0,7.46,
,Completed,-382.32,7.46,-374.86,
,Released,18.74,...,18.74,
,Completed,0.86,0,0.86,
,Completed,-36,0.86,-35.14,
,Completed,2.14,0,2.14,
,Completed,-89.1,2.14,-86.96,
,Completed,1.33,0,1.33,
,Completed,-70.2,1.33,-68.87,
,Placed,-3.12,...,-3.12,
,Placed,-3.21,...,-3.21,
,Completed,0.48,0,0.48,
,Completed,-20,0.48,-19.52,
,Canceled,19.37,0,19.37,
300098971,Completed,63.9,-1.41,62.49,
300098970,Completed,66,-1.78,64.22,
,Placed,-5.51,...,-5.51,
,Placed,-2.34,...,-2.34,
300098969,Completed,112.5,-2.34,110.16,
300098967,Completed,48,-1.11,46.89,
,Placed,-18.58,...,-18.58,
,Placed,-8.23,...,-8.23,
300098966,Completed,379.08,-7.4,371.68,
,Placed,-1.41,...,-1.41,
,Placed,-4.57,...,-4.57,
,Placed,-0.41,...,-0.41,
300098965,Completed,29,-0.75,28.25,
300098964,Completed,168,-3.39,164.61,
,Placed,-1.46,...,-1.46,
300098959,Completed,8.5,-0.31,8.19,
300098962,Completed,30,-0.77,29.23,
300098961,Completed,93.3,-1.97,91.33,
,Placed,-1.04,...,-1.04,
,Placed,-0.68,...,-0.68,
300098958,Completed,21.6,-0.76,20.84,
300098957,Completed,14,-0.42,13.58,
,Placed,-3.7,...,-3.7,
,Placed,-3.86,...,-3.86,
300098955,Completed,78.84,-1.65,77.19,
300098956,Completed,75.6,-1.64,73.96,
,Placed,-2.53,...,-2.53,
,Placed,-14.43,...,-14.43,
,Placed,-1.03,...,-1.03,
300098954,Completed,51.75,-1.18,50.57,
300098953,Completed,21.21,-0.6,20.61,
,Placed,-3.88,...,-3.88,
300098952,Completed,299,-10.47,288.53,
,Placed,-1.05,...,-1.05,
,Placed,-9.55,...,-9.55,
300098951,Completed,79.2,-1.7,77.5,
200000214,Completed,21.6,-0.56,21.04,
,Placed,-0.97,...,-0.97,
300098950,Completed,20,-0.53,19.47,
,Placed,-3.08,...,-3.08,
,Completed,1.24,0,1.24,
,Completed,-65.5,1.24,-64.26,
,Completed,6.12,0,6.12,
,Completed,-254.87,6.12,-248.75,
300098949,Completed,195,-3.91,191.09,
300098948,Completed,62.94,-1.35,61.59,
,Placed,-1.37,...,-1.37,
,Placed,-2.41,...,-2.41,
,Placed,-2.42,...,-2.42,
,Placed,-5.5,...,-5.5,
,Placed,-2.22,...,-2.22,
300098947,Completed,28,-0.68,27.32,
300098945,Completed,112.2,-2.28,109.92,
300098944,Completed,50,-1.75,48.25,
300098943,Completed,49.5,-1.14,48.36,
300098942,Completed,45.55,-1.07,44.48,
,Placed,-0.78,...,-0.78,
,Placed,-0.78,...,-0.78,
300098941,Completed,16.2,-0.51,15.69,
300098940,Completed,16.2,-0.51,15.69,
,Placed,-4.36,...,-4.36,
,Placed,-23.45,...,-23.45,
,Placed,-2.9,...,-2.9,
,Placed,-0.41,...,-0.41,
300098939,Completed,89,-1.84,87.16,
300098938,Completed,485.95,-17.01,468.94,
