 Invoice Number, Status, Gross, Fee, Net, Reserve
300096378,Completed,149.6,-3.04,146.56,
300096377,Completed,28,-0.68,27.32,
300096376,Completed,101.15,-2.12,99.03,
300096375,Completed,37.4,-0.91,36.49,
300096374,Completed,19.55,-0.57,18.98,
300096372,Completed,88,-1.87,86.13,
300096373,Completed,45.9,-1.07,44.83,
300096371,Refunded,77.95,-1.68,76.27,
300096370,Completed,228,-4.53,223.47,
,Removed,-18,0.49,-17.51,
300096369,Refunded,45,-1.06,43.94,
300096368,Partially Refunded,191.1,-3.78,187.32,
300096366,Completed,192,-3.85,188.15,
300096365,Completed,42.85,-0.96,41.89,
300096364,Completed,51,-1.17,49.83,
300096363,Completed,99.5,-3.48,96.02,
300096362,Completed,23.8,-0.65,23.15,
300096360,Completed,49.3,-1.09,48.21,
300096361,Completed,40.8,-0.98,39.82,
300096359,Completed,44.2,-1.04,43.16,
300096358,Completed,152.83,-3.05,149.78,
300096357,Completed,52.7,-1.2,51.5,
300096356,Completed,84.15,-1.8,82.35,
300096355,Completed,163.92,-3.31,160.61,
300096354,Completed,61.88,-1.38,60.5,
300096352,Completed,26,-0.64,25.36,
300096353,Completed,115,-2.34,112.66,
300096350,Completed,58,-1.3,56.7,
300096349,Refunded,168,-3.39,164.61,
300096348,Completed,22.52,-0.63,21.89,
300096347,Completed,137.2,-2.76,134.44,
300096346,Completed,40.6,-0.92,39.68,
300096345,Completed,21.25,-0.55,20.7,
300096344,Completed,27.2,-0.72,26.48,
300096343,Completed,268.7,-5.31,263.39,
300096342,Completed,153.79,-5.38,148.41,
300096341,Completed,359.2,-6.97,352.23,
,Removed,-1084,20.8,-1063.2,
200000114,Completed,35.95,-0.88,35.07,
300096340,Completed,144.5,-2.95,141.55,
300096339,Completed,225.78,-4.49,221.29,
300096338,Completed,11.4,-0.37,11.03,
300096337,Completed,50.49,-1.16,49.33,
300096336,Completed,113.94,-2.36,111.58,
300096335,Completed,49.57,-1.09,48.48,
300096334,Completed,100.95,-3.53,97.42,
300096333,Completed,94.9,-2,92.9,
300096331,Completed,109.95,-2.29,107.66,
300096330,Completed,28.9,-0.75,28.15,
300096329,Completed,18.4,-0.5,17.9,
300096328,Completed,194.4,-3.89,190.51,
300096327,Completed,202.95,-5.07,197.88,
300096326,Completed,440,-8.51,431.49,
,Completed,-10282.84,0,-10282.84,
300096325,Completed,29.9,-0.77,29.13,
300096324,Completed,28.08,-0.68,27.4,
300096319,Completed,22.5,-0.58,21.92,
300096323,Completed,186,-6.51,179.49,
300096322,Completed,15,-0.53,14.47,
,Completed,0.8,0,0.8,
,Completed,-42.12,0.8,-41.32,
300096320,Completed,92.2,-1.9,90.3,
300096321,Completed,53.95,-1.18,52.77,
300096318,Completed,26,-0.91,25.09,
300096310,Completed,36.72,-0.85,35.87,
300096317,Completed,23.8,-0.65,23.15,
,Completed,56,-1.26,54.74,
300096316,Completed,86.62,-1.85,84.77,
300096315,Completed,56,-1.26,54.74,
,Refunded,42.12,-1,41.12,
200000113,Completed,60,-1.34,58.66,
,Completed,0.53,0,0.53,
,Completed,-28,0.53,-27.47,
300096313,Refunded,145.92,-3.65,142.27,
,Completed,0.78,0,0.78,
,Completed,-40.82,0.78,-40.04,
,Canceled,39.89,0,39.89,
300096314,Refunded,42.12,-1,41.12,
300096312,Completed,124,-2.56,121.44,
300096311,Completed,2,-0.19,1.81,
300096309,Completed,28.08,-0.73,27.35,
300096308,Completed,30,-0.77,29.23,
300096306,Completed,210.28,-4.15,206.13,
300096307,Completed,28,-0.73,27.27,
300096305,Completed,106.92,-3.74,103.18,
300096304,Completed,22,-0.57,21.43,
300096303,Completed,146.79,-2.99,143.8,
300096302,Completed,68,-1.49,66.51,
300096301,Completed,61.2,-1.36,59.84,
300096300,Completed,23.4,-0.64,22.76,
300096299,Completed,60.48,-1.35,59.13,
300096298,Completed,49.5,-1.09,48.41,
300096297,Refunded,75.65,-2.02,73.63,
300096296,Completed,117.55,-2.43,115.12,
300096292,Completed,165.46,-3.29,162.17,
300096295,Completed,128.26,-2.59,125.67,
300096294,Completed,48.45,-1.07,47.38,
300096293,Completed,51,-1.17,49.83,
300096291,Completed,65.7,-1.4,64.3,
300096290,Completed,9.18,-0.32,8.86,
300096289,Completed,19.8,-0.58,19.22,
300096288,Completed,27,-0.66,26.34,
300096287,Completed,28.8,-1.01,27.79,
300096286,Completed,23.76,-0.65,23.11,
300096285,Completed,22,-0.62,21.38,
300096284,Completed,27,-0.71,26.29,
300096281,Completed,31.95,-0.76,31.19,
300096283,Completed,54.4,-1.9,52.5,
300096282,Completed,48,-1.11,46.89,
300096280,Completed,25.27,-0.68,24.59,
300096279,Completed,22,-0.62,21.38,
300096277,Completed,171,-3.45,167.55,
300096276,Refunded,30.4,-0.93,29.47,
300096275,Completed,98.6,-2.07,96.53,
300096274,Completed,123.12,-2.49,120.63,
,Completed,-38.78,0,-38.78,
300096272,Completed,60.3,-1.3,59,
300096271,Completed,130.9,-2.69,128.21,
300096270,Completed,93.6,-1.98,91.62,
300096269,Completed,64.8,-1.43,63.37,
,Completed,48.45,-1.12,47.33,
,Partially Refunded,134.51,-2.76,131.75,
,Completed,170,-4.28,165.72,
300096268,Completed,78.03,-1.68,76.35,
300096267,Completed,69.31,-1.52,67.79,
300096265,Completed,177.79,-3.53,174.26,
300096266,Completed,218,-4.34,213.66,
300096264,Completed,39.47,-0.95,38.52,
300096263,Completed,128.7,-2.65,126.05,
300096262,Completed,197.64,-3.96,193.68,
300096261,Completed,59.95,-1.64,58.31,
,Completed,1.2,0,1.2,
,Completed,-63,1.2,-61.8,
300096260,Completed,133.6,-2.74,130.86,
300096259,Completed,65,-2.28,62.72,
300096258,Completed,141.7,-2.89,138.81,
300096257,Completed,52.88,-1.85,51.03,
300096253,Completed,359.2,-8.77,350.43,
300096256,Completed,29.75,-0.72,29.03,
300096255,Completed,37.95,-0.92,37.03,
300096254,Completed,308,-6.05,301.95,
300096252,Completed,39.2,-0.94,38.26,
300096233,Completed,209.85,-5.24,204.61,
300096251,Completed,164,-3.32,160.68,
300096250,Completed,28,-0.73,27.27,
300096249,Completed,121.52,-2.51,119.01,
300096248,Completed,34,-0.85,33.15,
300096247,Completed,143.42,-2.92,140.5,
300096246,Completed,98,-2.01,95.99,
300096245,Completed,61.2,-1.31,59.89,
300096244,Refunded,28,-0.68,27.32,
300096243,Completed,205,-4.1,200.9,
300096242,Completed,49.5,-1.09,48.41,
300059638,Completed,36.72,-0.9,35.82,
300096241,Completed,171,-3.45,167.55,
300096240,Completed,196.8,-6.89,189.91,
300096239,Completed,170,-4.28,165.72,
300096238,Completed,95.95,-2.02,93.93,
300096236,Completed,250,-4.95,245.05,
300096235,Completed,29.94,-0.72,29.22,
300096234,Refunded,70.95,-1.55,69.4,
,Cleared,39.47,-0.9,38.57,
300096232,Completed,39.6,-0.9,38.7,
300096231,Completed,110.41,-2.3,108.11,
300096229,Completed,53.46,-1.17,52.29,
300096227,Completed,103,-2.16,100.84,
200000112,Completed,181.36,-3.6,177.76,
300096226,Completed,70.2,-1.53,68.67,
300096225,Completed,56.25,-1.27,54.98,
300096224,Completed,130.68,-2.68,128,
,Removed,-17.01,0.47,-16.54,
200000111,Completed,209,-4.17,204.83,
300096223,Completed,137.2,-2.81,134.39,
300096222,Partially Refunded,134.51,-2.76,131.75,
300096221,Completed,92,-1.95,90.05,
300096220,Completed,61.5,-1.37,60.13,
300096219,Completed,51.42,-1.18,50.24,
300096218,Completed,95.05,-2.01,93.04,
300096217,Completed,41.4,-0.94,40.46,
300096216,Completed,205.7,-4.06,201.64,
200000110,Completed,61.79,-1.32,60.47,
300096215,Completed,13.5,-0.46,13.04,
200000109,Completed,44.55,-1.05,43.5,
300096214,Completed,30.6,-1.07,29.53,
300096213,Completed,7.65,-0.35,7.3,
INV2-XLCL-FH27-A8RG-TE9W,Completed,75,-2.78,72.22,
45151,Paid,75,0,75,
300096212,Completed,33.95,-0.85,33.1,
300096211,Completed,28.9,-0.75,28.15,
300096210,Refunded,65.5,-1.39,64.11,
,Completed,-10509.91,0,-10509.91,
300096209,Completed,39.1,-0.94,38.16,
300096207,Refunded,19,-0.67,18.33,
300096205,Completed,78,-1.63,76.37,
300096206,Completed,140.25,-2.86,137.39,
300096204,Completed,470.88,-9.15,461.73,
300096203,Completed,35,-0.82,34.18,
300096197,Completed,126.4,-2.55,123.85,
300096200,Completed,36,-0.88,35.12,
,Completed,15,-0.51,14.49,
300096202,Completed,48.45,-1.12,47.33,
300096201,Completed,82,-1.76,80.24,
300096199,Completed,122.26,-2.52,119.74,
300096198,Completed,72.9,-1.59,71.31,
300096196,Completed,46.75,-1.09,45.66,
300096195,Refunded,25.5,-0.68,24.82,
300096194,Refunded,22,-0.62,21.38,
300096190,Completed,12.42,-0.44,11.98,
300096193,Completed,17.5,-0.48,17.02,
300096192,Completed,39.6,-0.9,38.7,
,Completed,1.14,0,1.14,
,Completed,-59.8,1.14,-58.66,
,Completed,0.77,0,0.77,
,Completed,-31.9,0.77,-31.13,
300096189,Completed,30.6,-0.78,29.82,
300096188,Completed,18,-0.63,17.37,
300096187,Completed,179.2,-3.6,175.6,
300096186,Completed,57.8,-2.02,55.78,
300096185,Completed,40.61,-0.97,39.64,
300096182,Completed,71.4,-2.5,68.9,
300096184,Completed,31.21,-0.79,30.42,
300096183,Completed,211.95,-4.23,207.72,
,Completed,54,-1.23,52.77,
,Completed,29.71,-1.04,28.67,
,Completed,1796,-34.32,1761.68,
300096181,Partially Refunded,130.32,-2.68,127.64,
300096180,Completed,59.9,-1.34,58.56,
300096178,Completed,14.95,-0.43,14.52,
300096176,Refunded,34,-0.8,33.2,
300096175,Completed,146.88,-2.99,143.89,
300096173,Completed,34.95,-0.81,34.14,
300096174,Completed,235.83,-4.68,231.15,
300096172,Completed,29.95,-0.77,29.18,
300096171,Completed,157.25,-5.5,151.75,
300096170,Completed,172,-3.47,168.53,
300096169,Completed,1796,-34.32,1761.68,
300096168,Refunded,17,-0.52,16.48,
300096167,Completed,25.11,-0.68,24.43,
300096166,Completed,66.96,-1.42,65.54,
300096165,Completed,154.44,-3.08,151.36,
300096164,Completed,76.33,-1.6,74.73,
300096163,Completed,171.2,-3.4,167.8,
300096162,Completed,30.24,-0.72,29.52,
300096161,Completed,63.18,-1.4,61.78,
300096160,Completed,109.24,-2.28,106.96,
300096158,Completed,54,-1.23,52.77,
300096159,Completed,107.41,-3.76,103.65,
,Completed,0.53,0,0.53,
,Completed,-28,0.53,-27.47,
,Completed,1.9,0,1.9,
,Completed,-100,1.9,-98.1,
300096157,Completed,279.44,-5.51,273.93,
,Completed,2.38,0,2.38,
,Completed,-125,2.38,-122.62,
INV2-JXUM-M7PE-2922-2277,Completed,152.24,-5.48,146.76,
45150,Paid,152.24,0,152.24,
,Completed,-38.88,0,-38.88,
,Completed,6.02,0,6.02,
,Completed,-316.99,6.02,-310.97,
,Completed,1.23,0,1.23,
,Completed,-64.8,1.23,-63.57,
,Completed,0.69,0,0.69,
,Completed,-36,0.69,-35.31,
,Completed,0.52,0,0.52,
,Completed,-27.2,0.52,-26.68,
,Completed,-125,0,-125,
300096156,Partially Refunded,245.38,-4.81,240.57,
,Completed,-18,0,-18,
,Completed,1.19,0,1.19,
,Completed,-62.7,1.19,-61.51,
,Completed,0.45,0,0.45,
,Completed,-23.4,0.45,-22.95,
,Completed,1.72,0,1.72,
,Completed,-90.72,1.72,-89,
,Completed,1.06,0,1.06,
,Completed,-44,1.06,-42.94,
300096108,Completed,284.8,-5.56,279.24,
,Completed,0.53,0,0.53,
,Completed,-22,0.53,-21.47,
300096155,Completed,9.18,-0.32,8.86,
300096154,Completed,45.9,-1.61,44.29,
,Completed,0.63,0,0.63,
,Completed,-33,0.63,-32.37,
,Completed,1.5,0,1.5,
,Completed,-79.2,1.5,-77.7,
,Completed,3.15,0,3.15,
,Completed,-165.85,3.15,-162.7,
,Completed,1.68,0,1.68,
,Completed,-88.5,1.68,-86.82,
,Completed,0.48,0,0.48,
,Completed,-25.2,0.48,-24.72,
,Completed,0.33,0,0.33,
,Completed,-17.5,0.33,-17.17,
,Completed,3.41,0,3.41,
,Completed,-141.95,3.41,-138.54,
,Completed,0.68,0,0.68,
,Completed,-35.64,0.68,-34.96,
300096152,Completed,50.49,-1.11,49.38,
,Completed,1.26,0,1.26,
,Completed,-66.1,1.26,-64.84,
300096153,Completed,28.9,-0.75,28.15,
,Completed,1.05,0,1.05,
,Completed,-55,1.05,-53.95,
300096151,Completed,14.87,-0.43,14.44,
,Completed,0.6,0,0.6,
,Completed,-31.6,0.6,-31,
300096150,Completed,28.05,-0.68,27.37,
300096149,Completed,71.4,-1.56,69.84,
300096148,Completed,34,-0.8,33.2,
300096147,Completed,204,-4.03,199.97,
300096146,Completed,54.4,-1.23,53.17,
300096145,Completed,22.49,-0.58,21.91,
300096143,Completed,76.5,-1.6,74.9,
300096144,Completed,134.4,-2.75,131.65,
,Completed,0.22,0,0.22,
,Completed,-11.85,0.22,-11.63,
300096142,Completed,70.21,-1.53,68.68,
300096141,Completed,29.71,-1.04,28.67,
300096140,Completed,22,-0.57,21.43,
,Completed,-39,-20,-59,
300096139,Completed,32.4,-0.82,31.58,
300096138,Completed,24.65,-0.67,23.98,
300096137,Completed,48.6,-1.12,47.48,
200000108,Completed,144,-2.94,141.06,
300096136,Completed,161.2,-3.26,157.94,
300096135,Completed,90.42,-1.92,88.5,
300096134,Completed,134.78,-2.76,132.02,
300096133,Completed,86.62,-1.85,84.77,
300096132,Completed,59.67,-1.33,58.34,
300096130,Completed,124.2,-2.56,121.64,
300096129,Completed,65,-1.44,63.56,
300096128,Completed,253.8,-5.02,248.78,
300096127,Completed,94.28,-1.99,92.29,
300096126,Completed,66.1,-1.46,64.64,
,Completed,16,-0.5,15.5,
,Completed,16,-0.5,15.5,
300096125,Completed,52.9,-1.21,51.69,
300096124,Completed,166.5,-3.36,163.14,
300096123,Completed,78.2,-1.69,76.51,
300096122,Completed,36.72,-0.9,35.82,
300096119,Completed,28.9,-0.75,28.15,
300096117,Completed,54,-1.89,52.11,
300096116,Completed,55,-1.2,53.8,
,Canceled,10.59,0,10.59,
300096115,Refunded,43,-1.51,41.49,
300096114,Completed,30.29,-1.06,29.23,
300096113,Refunded,28,-0.73,27.27,
300096112,Completed,18.36,-0.55,17.81,
300096111,Completed,19.55,-0.68,18.87,
300096110,Completed,160.7,-3.25,157.45,
300096109,Completed,107.1,-3.75,103.35,
200000107,Completed,68,-1.49,66.51,
300096107,Completed,291.2,-5.73,285.47,
300096106,Completed,59.4,-1.33,58.07,
300096104,Partially Refunded,16.45,-0.51,15.94,
300096105,Completed,55.25,-1.2,54.05,
300096103,Refunded,14,-0.42,13.58,
300096102,Completed,222.98,-4.44,218.54,
300096101,Completed,107.1,-2.18,104.92,
300096100,Refunded,138.24,-2.78,135.46,
300096099,Refunded,28,-0.73,27.27,
200000106,Completed,26.35,-0.7,25.65,
300096097,Completed,45.05,-1.01,44.04,
300096096,Completed,149.6,-3.04,146.56,
300096095,Completed,16,-0.5,15.5,
300096094,Refunded,44.1,-0.99,43.11,
300096092,Completed,115.47,-2.39,113.08,
300096091,Completed,190.5,-3.77,186.73,
300096090,Refunded,59,-1.32,57.68,
300096089,Completed,10.99,-0.36,10.63,
,Removed,-60,1.34,-58.66,
300096088,Completed,102.06,-3.57,98.49,
,Canceled,23.39,0,23.39,
300096087,Completed,60.59,-1.35,59.24,
300096086,Completed,31.32,-0.75,30.57,
300096085,Completed,79,-1.65,77.35,
300096084,Completed,71.28,-2.49,68.79,
300096083,Completed,82.53,-2.89,79.64,
300096082,Completed,25.2,-0.63,24.57,
300096081,Partially Refunded,60,-1.34,58.66,
300096080,Completed,62.89,-1.34,61.55,
300096079,Completed,103.15,-2.16,100.99,
300096078,Completed,177.6,-3.52,174.08,
300096077,Completed,28,-0.68,27.32,
300096076,Completed,23.85,-0.6,23.25,
300096075,Completed,53.5,-1.17,52.33,
300096074,Completed,125.76,-3.22,122.54,
300096073,Refunded,37.2,-0.86,36.34,
300096072,Completed,12.85,-0.44,12.41,
300096071,Completed,30,-0.72,29.28,
300096070,Completed,281.88,-5.56,276.32,
300096069,Completed,11.69,-0.37,11.32,
300096068,Refunded,28,-0.73,27.27,
200000104,Refunded,145.8,-2.92,142.88,
300096067,Completed,121.5,-2.51,118.99,
300096066,Completed,21.25,-0.6,20.65,
300096064,Completed,55,-1.25,53.75,
300096063,Completed,87.42,-1.86,85.56,
300096062,Completed,49.98,-1.15,48.83,
,Completed,-27984.37,0,-27984.37,
300096060,Completed,58,-1.3,56.7,
300096058,Completed,112,-2.28,109.72,
300096059,Completed,149.04,-2.98,146.06,
300096057,Completed,36.55,-0.84,35.71,
300096056,Completed,29.75,-0.77,28.98,
300096052,Completed,34.56,-0.81,33.75,
300096055,Completed,49.87,-1.15,48.72,
300096053,Partially Refunded,49.1,-1.08,48.02,
300096051,Completed,73.07,-1.59,71.48,
,Completed,0.12,0,0.12,
,Completed,-5.95,0.12,-5.83,
300096050,Refunded,32,-0.97,31.03,
300096049,Completed,47.52,-1.1,46.42,
INV2-39C4-YLTL-KA7Q-R9MV,Completed,42,-1.62,40.38,
45149,Paid,42,0,42,
300096047,Completed,70.2,-1.53,68.67,
300096046,Refunded,33,-0.83,32.17,
300096045,Completed,32,-0.81,31.19,
300096044,Completed,111.78,-2.32,109.46,
300096043,Completed,140.4,-2.87,137.53,
,Completed,1.19,0,1.19,
,Completed,-63,1.19,-61.81,
,Completed,1.28,0,1.28,
,Completed,-67.15,1.28,-65.87,
300096042,Completed,56.38,-1.27,55.11,
300096041,Completed,72.25,-1.57,70.68,
,Completed,0.15,0,0.15,
,Completed,-7.95,0.15,-7.8,
,Completed,0.29,0,0.29,
,Completed,-15.13,0.29,-14.84,
,Completed,0.12,0,0.12,
,Completed,-6.25,0.12,-6.13,
300096040,Completed,65.91,-1.45,64.46,
300096039,Completed,78,-1.68,76.32,
300096038,Completed,35.95,-0.88,35.07,
300096037,Completed,81.6,-1.75,79.85,
300096036,Completed,10.2,-0.39,9.81,
300096035,Completed,205.09,-4.1,200.99,
300096034,Completed,29.75,-0.77,28.98,
300096033,Completed,166.4,-3.36,163.04,
300096032,Completed,150.67,-3.06,147.61,
300096031,Completed,19.8,-0.58,19.22,
300096030,Completed,147,-5.15,141.85,
300096029,Completed,67,-1.47,65.53,
300096028,Completed,9511,-180.91,9330.09,
300096027,Completed,8000,-152.2,7847.8,
,Completed,49,0,49,
300096026,Partially Refunded,183.2,-3.63,179.57,
300096025,Completed,14.87,-0.48,14.39,
300096024,Completed,144.5,-5.06,139.44,
300096023,Completed,128.52,-2.64,125.88,
300096022,Completed,363.74,-12.73,351.01,
200000103,Completed,30,-0.72,29.28,
300096021,Completed,102,-2.14,99.86,
300096020,Refunded,10.26,-0.34,9.92,
300096019,Completed,171,-3.4,167.6,
,Completed,2.91,0,2.91,
,Completed,-153,2.91,-150.09,
,Canceled,149.94,0,149.94,
300096018,Completed,12.6,-0.44,12.16,
300096017,Completed,208.8,-4.17,204.63,
300096016,Completed,170,-5.95,164.05,
300096015,Completed,35.2,-0.87,34.33,
300096014,Completed,90.4,-1.87,88.53,
300096013,Completed,62.9,-2.2,60.7,
300096012,Completed,233.82,-4.64,229.18,
300096010,Completed,95,-1.96,93.04,
300096011,Completed,30.6,-0.78,29.82,
300096009,Completed,59.4,-2.08,57.32,
300096008,Completed,56.38,-1.27,55.11,
300096006,Completed,38.2,-0.88,37.32,
300096007,Completed,25.92,-0.69,25.23,
300096005,Completed,106,-2.21,103.79,
300096004,Completed,68,-2.38,65.62,
300096003,Completed,52.5,-1.2,51.3,
300096002,Completed,39.95,-0.91,39.04,
300096001,Completed,16,-0.5,15.5,
300096000,Completed,228,-4.53,223.47,
300095999,Completed,35,-0.87,34.13,
300095995,Completed,148,-2.96,145.04,
45148,Paid,80,0,80,
45147,Paid,215.83,0,215.83,
45146,Paid,75.6,0,75.6,
45145,Paid,260.64,0,260.64,
45144,Paid,156,0,156,
45143,Paid,102,0,102,
45142,Paid,80,0,80,
45141,Paid,40,0,40,
45140,Paid,126.18,0,126.18,
45139,Paid,93.36,0,93.36,
45138,Paid,155.2,0,155.2,
45137,Paid,82,0,82,
45136,Paid,84.62,0,84.62,
45135,Paid,160,0,160,
45134,Paid,293.25,0,293.25,
45133,Paid,85,0,85,
45132,Paid,78,0,78,
45131,Paid,59.4,0,59.4,
45130,Paid,25,0,25,
45129,Paid,166.52,0,166.52,
45128,Paid,13000,0,13000,
45127,Paid,172.61,0,172.61,
45126,Paid,65,0,65,
45125,Paid,75,0,75,
45124,Paid,39,0,39,
45123,Paid,67,0,67,
45122,Paid,132.92,0,132.92,
45121,Paid,144.72,0,144.72,
45120,Paid,85,0,85,
45119,Paid,112.13,0,112.13,
45115,Paid,1.08,0,1.08,
300095997,Completed,286,-5.63,280.37,
,Completed,58.5,-1.31,57.19,
300095996,Refunded,14,-0.47,13.53,
300095994,Completed,102.42,-2.1,100.32,
300095993,Completed,334.8,-6.56,328.24,
300095992,Completed,22,-0.57,21.43,
300095991,Completed,53.55,-1.22,52.33,
300095990,Refunded,57.8,-2.02,55.78,
300095989,Completed,23.8,-0.65,23.15,
300095988,Completed,161.47,-5.65,155.82,
300095987,Completed,247.1,-4.89,242.21,
300095986,Completed,24,-0.66,23.34,
200000102,Completed,70.2,-1.53,68.67,
300095985,Refunded,8.5,-0.31,8.19,
300095983,Completed,51.81,-1.13,50.68,
300095984,Completed,62.33,-1.38,60.95,
300095982,Completed,160.8,-3.26,157.54,
300095980,Completed,190,-3.76,186.24,
300095981,Completed,59.96,-1.34,58.62,
300095979,Completed,24,-0.66,23.34,
300095975,Completed,65,-1.39,63.61,
300095978,Completed,45.5,-1.06,44.44,
300095976,Completed,250.5,-4.91,245.59,
300095977,Completed,355.2,-6.95,348.25,
200000101,Completed,55,-1.25,53.75,
300095974,Refunded,40.5,-0.92,39.58,
300095973,Completed,58,-1.59,56.41,
300095972,Completed,27.55,-0.67,26.88,
300095971,Completed,12,-0.43,11.57,
300095969,Completed,105.95,-2.16,103.79,
300095968,Completed,133.06,-2.73,130.33,
200000100,Completed,123.2,-2.49,120.71,
300095967,Completed,39,-0.94,38.06,
300095966,Completed,106.25,-3.72,102.53,
300095965,Completed,50,-1.15,48.85,
300095964,Completed,117.95,-2.39,115.56,
300095963,Completed,217.73,-4.29,213.44,
300095962,Partially Refunded,108.97,-2.27,106.7,
,Removed,-869,16.71,-852.29,
300095961,Completed,51,-1.79,49.21,
300095960,Completed,147.55,-3,144.55,
300095959,Completed,58.5,-1.31,57.19,
300095958,Completed,34,-0.85,33.15,
300095957,Completed,196.13,-6.86,189.27,
300095956,Completed,30.6,-0.78,29.82,
300095954,Completed,101.15,-2.12,99.03,
300095953,Completed,75,-1.63,73.37,
300095951,Partially Refunded,49.11,-1.08,48.03,
300095952,Completed,55.7,-1.26,54.44,
300095950,Completed,25,-0.63,24.37,
300095949,Completed,82,-2.87,79.13,
300095948,Completed,15.3,-0.49,14.81,
300095947,Completed,36.12,-0.84,35.28,
300095946,Completed,84.06,-1.8,82.26,
300095945,Completed,51.37,-1.18,50.19,
300095943,Completed,49.57,-1.09,48.48,
300095944,Completed,96.23,-2.03,94.2,
300095941,Completed,164.45,-3.32,161.13,
300095940,Completed,160,-3.24,156.76,
200000099,Completed,16.2,-0.46,15.74,
300095938,Completed,53.24,-1.16,52.08,
300095939,Completed,34.65,-1.21,33.44,
300095937,Completed,46.5,-1.08,45.42,
300095936,Completed,35.7,-0.83,34.87,
300095934,Completed,337.95,-6.57,331.38,
300095935,Completed,66.3,-1.41,64.89,
,Completed,-16121.11,0,-16121.11,
300095933,Completed,51.41,-1.13,50.28,
300095932,Completed,82.5,-2.89,79.61,
300095931,Partially Refunded,53,-1.21,51.79,
300095930,Completed,162,-3.28,158.72,
300095929,Completed,50.4,-1.16,49.24,
300095927,Completed,140.83,-2.88,137.95,
300095928,Completed,236.88,-4.7,232.18,
300095926,Completed,130.46,-2.63,127.83,
300095925,Completed,35.7,-1.25,34.45,
300095924,Completed,70.2,-1.53,68.67,
300095923,Completed,64.6,-1.43,63.17,
300095922,Completed,50.15,-1.15,49,
300095921,Completed,29.7,-0.76,28.94,
300095920,Completed,129.6,-2.61,126.99,
300095919,Completed,14.74,-0.48,14.26,
300095918,Completed,96,-2.02,93.98,
300095917,Completed,36,-0.88,35.12,
300095916,Completed,116.26,-2.41,113.85,
300095915,Refunded,68.95,-1.51,67.44,
300095914,Completed,74.26,-1.61,72.65,
300095913,Completed,74.8,-1.62,73.18,
300095912,Partially Refunded,299,-5.88,293.12,
300095911,Completed,136.8,-2.8,134,
300095910,Completed,25,-0.88,24.12,
300095909,Completed,30.6,-0.78,29.82,
300095908,Completed,187.2,-3.76,183.44,
300095907,Completed,34,-0.85,33.15,
300095906,Completed,17,-0.47,16.53,
300095905,Completed,178.85,-3.6,175.25,
300095904,Completed,122,-2.52,119.48,
300095903,Completed,252.8,-5,247.8,
300095901,Completed,47.62,-1.1,46.52,
300095902,Completed,55.8,-1.21,54.59,
300095900,Completed,64.8,-1.43,63.37,
300095899,Completed,135,-2.77,132.23,
300095898,Completed,85.5,-1.82,83.68,
300095897,Completed,59.5,-1.33,58.17,
,Completed,-62.91,0,-62.91,
300095894,Completed,27.2,-0.67,26.53,
300095896,Completed,45.9,-1.07,44.83,
300095895,Completed,45.9,-1.07,44.83,
300095892,Completed,45.05,-1.01,44.04,
300095893,Completed,40.95,-0.98,39.97,
300095891,Completed,117.3,-2.43,114.87,
300095890,Completed,157,-3.18,153.82,
300095889,Completed,32.63,-0.82,31.81,
300095888,Completed,56,-1.26,54.74,
300095887,Completed,36.55,-0.84,35.71,
,Completed,1.97,0,1.97,
,Completed,-103.68,1.97,-101.71,
300095886,Completed,25.2,-0.63,24.57,
300095885,Partially Refunded,176.26,-3.55,172.71,
300092435,Refunded,27.2,-0.67,26.53,
,Completed,-69,-20,-89,
,Canceled,67.49,0,67.49,
300095884,Completed,32.4,-0.82,31.58,
,Completed,5388,-102.57,5285.43,
300095883,Completed,5388,-102.57,5285.43,
300095882,Completed,24.84,-0.62,24.22,
300095881,Completed,113.62,-2.36,111.26,
300095880,Completed,75.65,-1.59,74.06,
300095879,Completed,135.35,-2.77,132.58,
300095878,Completed,120.6,-2.49,118.11,
300095876,Completed,64,-1.42,62.58,
,Completed,0.58,0,0.58,
,Completed,-30.6,0.58,-30.02,
,Completed,0.43,0,0.43,
,Completed,-22.39,0.43,-21.96,
300095875,Completed,14.95,-0.48,14.47,
300095874,Completed,41.65,-0.99,40.66,
,Completed,3.69,0,3.69,
,Completed,-194.4,3.69,-190.71,
300095873,Completed,39,-0.94,38.06,
300095872,Completed,28.15,-0.73,27.42,
,Completed,19.05,-0.56,18.49,
300095871,Partially Refunded,76.38,-1.65,74.73,
300095870,Completed,171.94,-3.47,168.47,
300095869,Completed,85.54,-2.99,82.55,
300095868,Completed,19.05,-0.56,18.49,
200000097,Completed,21.6,-0.56,21.04,
300095867,Completed,19.99,-0.53,19.46,
300095866,Completed,181.44,-3.65,177.79,
300095864,Completed,135.44,-2.72,132.72,
300095865,Completed,48.6,-1.12,47.48,
300095863,Completed,167.92,-3.39,164.53,
300095862,Completed,41,-0.98,40.02,
300095861,Completed,39,-0.89,38.11,
300095860,Partially Refunded,158,-3.2,154.8,
300091480,Completed,718.4,-17.39,701.01,
300095859,Completed,157.5,-3.19,154.31,
300095858,Completed,17.85,-0.62,17.23,
,Refunded,55.95,-1.26,54.69,
,Refunded,88,-2.31,85.69,
,Completed,148.44,-5.2,143.24,
300095857,Cleared,39.47,-0.9,38.57,
