Order ID,Event Date,Publisher Name,Website Name,Action Name,Action Type,Status,Sale Amount (USD),Corrected Amount (USD),Order Discount (USD),Advertiser Commission (USD),Publisher Commission (USD),CJ Fee (USD),Operating System,Device Name,Browser,Is Tablet,Model,Ad ID,Coupon,Click Referring URL
300088260,2/9/2015 22:51,WhaleShark Media: RetailMeNot.com,RetailMeNot,Skincare By Alana purchase,Advanced Sale,Extended,42,0,0,-5.46,4.2,1.26,Windows,,Mozilla,,,10833043,ALSAVE15,http://www.retailmenot.com/view/skincarebyalana.com?c=4622967
300088258,2/9/2015 22:32,"Ebates Performance Marketing, Inc.",Ebates.com,Skincare By Alana purchase,Advanced Sale,Extended,202.4,0,0,-26.312,20.24,6.072,Windows,Desktop,Chrome,FALSE,Desktop,11600828,EALPHA,http://www.ebates.com/shopping/ticket/skincarebyalana_12408-xfas?AutoLoginID=BWyTihdq1nQ2AFwalKADWg%
300088257,2/9/2015 22:13,"Ebates Performance Marketing, Inc.",Ebates.com,Skincare By Alana purchase,Advanced Sale,Extended,208,0,0,-27.04,20.8,6.24,Windows,Desktop,Chrome,FALSE,Desktop,11600828,CSER,http://www.ebates.com/shopping/ticket/skincarebyalana_12408-xfas?AutoLoginID=BWyTihdq1nQ2AFwalKADWg%
300088255,2/9/2015 21:45,"Ebates Performance Marketing, Inc.",Ebates.com,Skincare By Alana purchase,Advanced Sale,Extended,204.4,0,0,-26.572,20.44,6.132,Windows,Desktop,Chrome,FALSE,Desktop,11600828,STSER,http://www.ebates.com/shopping/ticket/skincarebyalana_12408-xfas?AutoLoginID=BWyTihdq1nQ2AFwalKADWg%
300088250,2/9/2015 19:06,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,25.98,0,0,-3.377,2.598,0.779,Android 4.0.x Ice Cream Sandwich,Desktop,Chrome Mobile,FALSE,Desktop,11189516,MLAG72,http://www.coupons.com/coupon-codes/skincare-by-alana/
300088244,2/9/2015 18:05,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,181,0,0,-23.53,18.1,5.43,iOS,iPad,Safari,TRUE,iPad,11189516,MLAG72,http://www.coupons.com/coupon-codes/skincare-by-alana/?cid=563030_2&pos=0&ccti=8c3b76d58c7346cd8277f
300088245,2/9/2015 18:05,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,103,0,0,-13.39,10.3,3.09,OS X 10.8 Mountain Lion,Desktop,Safari,FALSE,Desktop,11189516,MLAG72,http://www.coupons.com/coupon-codes/skincare-by-alana/
300088229,2/9/2015 14:40,WhaleShark Media: RetailMeNot.com,RetailMeNot,Skincare By Alana purchase,Advanced Sale,Extended,25,0,0,-3.25,2.5,0.75,OS X,Desktop,Safari,FALSE,Desktop,10833043,MLAG72,http://www.retailmenot.com/view/skincarebyalana.com
300088226,2/9/2015 14:26,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,64,0,0,-8.32,6.4,1.92,Windows 7,,Mozilla,,,11189516,MLAG72,http://www.coupons.com/coupon-codes/skincare-by-alana/
300088214,2/9/2015 12:43,WhaleShark Media: RetailMeNot.com,RetailMeNot,Skincare By Alana purchase,Advanced Sale,Extended,124,0,0,-16.12,12.4,3.72,OS X,Desktop,Firefox,FALSE,Desktop,10833043,MLAG72,http://www.retailmenot.com/view/skincarebyalana.com
300088204,2/9/2015 11:50,WhaleShark Media: RetailMeNot.com,RetailMeNot,Skincare By Alana purchase,Advanced Sale,Extended,20,0,0,-2.6,2,0.6,OS X,Desktop,Safari,FALSE,Desktop,10833043,MLAG72,http://www.retailmenot.com/view/skincarebyalana.com
300088196,2/9/2015 10:15,"Ebates Performance Marketing, Inc.",Ebates.com,Skincare By Alana purchase,Advanced Sale,Extended,52.5,0,0,-6.825,5.25,1.575,Windows 7,Desktop,Chrome,FALSE,Desktop,11600828,IMAGE,http://www.ebates.com/shopping/ticket/skincarebyalana_12408-xfas?AutoLoginID=iFIUEtizjMny9XEUHlwwMg%
300088174,2/9/2015 6:55,"Ebates Performance Marketing, Inc.",Ebates.com,Skincare By Alana purchase,Advanced Sale,Extended,157,0,0,-20.41,15.7,4.71,OS X,Desktop,Safari,FALSE,Desktop,11600828,CUPID3,http://www.ebates.com/shopping/ticket/skincarebyalana_12408-xfas?AutoLoginID=4i5i8rPrkio%3D&tb=yes&s
300088170,2/9/2015 0:16,Extrabux,Extrabux.com,Skincare By Alana purchase,Advanced Sale,Extended,449,0,0,-58.37,44.9,13.47,Windows 7,Desktop,Chrome,FALSE,Desktop,10825729,MLAG72,http://www.extrabux.com/transfer/store/3348
300088168,2/8/2015 22:36,Extrabux,Extrabux.com,Skincare By Alana purchase,Advanced Sale,Extended,449,0,0,-58.37,44.9,13.47,Windows 7,Desktop,Chrome,FALSE,Desktop,10825729,MLAG72,http://www.extrabux.com/transfer/store/3348
300088153,2/8/2015 18:32,WhaleShark Media: RetailMeNot.com,RetailMeNot,Skincare By Alana purchase,Advanced Sale,Extended,12.49,0,0,-1.624,1.249,0.375,OS X,Desktop,Safari,FALSE,Desktop,10833043,MLAG72,http://www.retailmenot.com/view/skincarebyalana.com
300088151,2/8/2015 17:51,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,48,0,0,-6.24,4.8,1.44,OS X 10.6 Snow Leopard,Desktop,Chrome,FALSE,Desktop,11189516,MLAG72,http://www.coupons.com/coupon-codes/skincare-by-alana/
300088149,2/8/2015 17:33,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,200,0,0,-26,20,6,iPhone OS,iPhone,Safari,FALSE,iPhone,11189516,MLAG72,
300088141,2/8/2015 15:31,Coupons.com Incorporated,coupons.com,Skincare By Alana purchase,Advanced Sale,Extended,36,0,0,-4.68,3.6,1.08,Windows,Desktop,Chrome,FALSE,Desktop,11189516,MLAG72,http://www.coupons.com/coupon-codes/skincare-by-alana/
300088118,2/8/2015 11:06,WhaleShark Media: RetailMeNot.com,RetailMeNot,Skincare By Alana purchase,Advanced Sale,Extended,109,0,0,-14.17,10.9,3.27,OS X 10.8 Mountain Lion,Desktop,Safari,FALSE,Desktop,10833043,CUPID2,http://www.retailmenot.com/view/skincarebyalana.com
300088117,2/8/2015 10:57,WhaleShark Media: RetailMeNot.com,RetailMeNot,Skincare By Alana purchase,Advanced Sale,Extended,201,0,0,-26.13,20.1,6.03,OS X 10.8 Mountain Lion,Desktop,Safari,FALSE,Desktop,10833043,CUPID4,http://www.retailmenot.com/view/skincarebyalana.com
300088113,2/8/2015 10:20,Mega Information Technology Limited,SavingStory,Skincare By Alana purchase,Advanced Sale,Extended,232,0,0,-30.16,23.2,6.96,OS X,Desktop,Safari,FALSE,Desktop,10832376,CUPID4,http://www.savingstory.com/coupons/skincare-by-alana/
