Period,"Coupon Code","Shopping Cart Price Rule","Number of Uses","Sales Subtotal Amount","Sales Discount Amount","Sales Total Amount","Subtotal Amount","Discount Amount","Total Amount"
2015,milkcleanse,"Epicuren Milk Cleanser 2oz (Free Gift with $85 Purchase)",6,$666.50,$0.00,$666.50,$666.50,$0.00,$666.50
2015,MIMOSASCRUB,"Eminence Organics Scrub Mimosa Champagne Scrub (FREE Gift with $200 Purchase)",1,$223.00,$0.00,$223.00,$223.00,$0.00,$223.00
2015,mobile15,"15% off Mobile one time",11,$760.00,$102.75,$657.25,$760.00,$102.75,$657.25
2015,newbeauty,"15% off best of new beauty",3,$156.00,$18.30,$137.70,$156.00,$18.30,$137.70
2015,parfait77,"Rhonda Allison Pumpkin Parfait Enzyme .5oz (Free Gift With $100 Purchase)",2,$228.85,$0.00,$228.85,$228.85,$0.00,$228.85
2015,PAYPAL20,"Shopping.PayPal.com 20% off $200 or more",2,$659.00,$131.80,$527.20,$659.00,$131.80,$527.20
2015,pepper,Pepper,1,$163.80,$32.76,$131.04,$163.80,$32.76,$131.04
2015,ppyscrub,"Eminence Organics Scrub Pear &amp; Poppy Seed Scrub (FREE Gift with $200 Purchase)",1,$228.00,$0.00,$228.00,$228.00,$0.00,$228.00
2015,"radrops ","Rhonda Allison Drops of Essence 1.7 (Free Gift with $200 Purchase)",5,"$1,092.00",$0.00,"$1,092.00","$1,092.00",$0.00,"$1,092.00"
2015,RAGROWTH,"Rhonda Allison Growth Factor Plus 0.25oz (Free Gift with $125)",15,"$2,320.00",$0.00,"$2,320.00","$2,320.00",$0.00,"$2,320.00"
2015,rapumpkin,"Rhonda Allison Pumpkin Cleanser 1oz (Free with $50 Purchase)",42,"$3,487.63",$0.00,"$3,487.63","$3,487.63",$0.00,"$3,487.63"
2015,RAREMOVE,"Rhonda Allison Makeup Remover .25oz (Free Gift with $25 Purchase)",1,$62.00,$0.00,$62.00,$62.00,$0.00,$62.00
2015,Refill2,"Time for a refill (REFILL2)",100,"$8,421.78","$1,649.69","$6,772.09","$8,421.78","$1,649.69","$6,772.09"
2015,refills2,"Time for a refill (REFILL2)",6,$625.50,$125.10,$500.40,$625.50,$125.10,$500.40
2015,replace2," 20% replace2 ",1,$402.00,$80.40,$321.60,$402.00,$80.40,$321.60
2015,roselave,"Epicuren Lave &amp; Body Wash 2.5oz (FREE Gift with $30 Purchase)",11,$615.00,$0.00,$615.00,$615.00,$0.00,$615.00
2015,SAVE10,"New Customer Business Card Code 10%",113,"$8,931.11",$848.74,"$8,082.37","$8,931.11",$848.74,"$8,082.37"
2015,save10cj,"SAVE10CJ - 10% off any order ",125,"$8,423.30",$823.49,"$7,599.81","$8,423.30",$823.49,"$7,599.81"
2015,SOCIAL,"Social Sharing 5% Coupon (ask Jared)",2,$50.50,$2.53,$47.97,$50.50,$2.53,$47.97
2015,STSER,"Eminence Organic Stone Crop Serum (Free with $200 Purchase)",4,$859.95,$0.00,$859.95,$859.95,$0.00,$859.95
2015,THANKU,"Returning Customer Business Card Code 10% off!",98,"$7,160.93",$696.31,"$6,464.62","$7,160.93",$696.31,"$6,464.62"
2015,trawen20,"20% TRIA WENDY CODE",4,"$17,960.00","$3,592.00","$14,368.00","$17,960.00","$3,592.00","$14,368.00"
2015,TRIALA,"Image Skincare Ageless Trial Kit (Free with $100 Purchase)",3,$337.50,$0.00,$337.50,$337.50,$0.00,$337.50
2015,trialv,"Image Skincare Vital C Trial Kit (Free with $100 Purchase)",3,$304.80,$0.00,$304.80,$304.80,$0.00,$304.80
2015,trlrad,"Trilogy Instant Radiance Collection (Free with $50 Purchase)",1,$63.63,$0.00,$63.63,$63.63,$0.00,$63.63
2015,TROPLAVE,"Epicuren Lave &amp; Body Wash 2.5oz (FREE Gift with $30 Purchase)",7,$402.80,$0.00,$402.80,$402.80,$0.00,$402.80
2015,UVWATER,"Osmosis UV Harmonized Water (Free w/ $100 or more)",1,$124.20,$0.00,$124.20,$124.20,$0.00,$124.20
2015,welcome,Welcome!,20,"$1,380.05",$138.01,"$1,242.04","$1,380.05",$138.01,"$1,242.04"
2015,wemu25,"we miss you 1",5,$554.00,$138.50,$415.50,$554.00,$138.50,$415.50
2015,WMU25,"we miss you 1",66,"$8,358.29","$2,084.61","$6,273.68","$8,358.29","$2,084.61","$6,273.68"
2015,yblve2,"Youngblood 20% Off Promo",29,"$2,180.00",$431.20,"$1,748.80","$2,180.00",$431.20,"$1,748.80"
Total,,,2114,"$240,019.69","$34,439.72","$205,579.97","$240,019.69","$34,439.72","$205,579.97"
